,normalized_Un_MCF7 T_0A,normalized_Un_MCF7 T_3A,normalized_Un_MCF7 T_6A,normalized_Un_MCF7 T_9A,normalized_Un_MCF7 T_12A,normalized_Un_MCF7 T_24A,normalized_Un_MCF7 T_0B,normalized_Un_MCF7 T_3B,normalized_Un_MCF7 T_6B,normalized_Un_MCF7 T_9B,normalized_Un_MCF7 T_12B,normalized_Un_MCF7 T_24B,normalized_Un_MCF7 T_0C,normalized_Un_MCF7 T_3C,normalized_Un_MCF7 T_6C,normalized_Un_MCF7 T_9C,normalized_Un_MCF7 T_12C,normalized_Un_MCF7 T_24C
GNB1,0.7107462905767107,0.5218922560221644,0.8690696753315617,1.0,0.8291672249869386,0.7220006854951724,0.6990097560263601,0.5856208958232529,0.8396566425049865,0.7889886178069772,0.9905634647575638,0.7933401562360709,0.6761405475971529,0.553745377309159,0.7238204081636015,0.7722649243454095,0.7387381378471191,0.7715584935609661
PRKCZ,0.6717631512045227,0.5498817475050498,0.9469781226193668,0.9457937993622383,0.8486990316702974,0.8826560821788668,0.7139374825533276,0.4981100412884199,0.9626647486993214,0.7387018901547405,0.8073149591249215,1.0,0.6915781027362997,0.49793857321630824,0.8410985265184416,0.7673528308079354,0.7116409090201152,0.9564692454364437
FAAP20,0.622989487504357,0.6105187294025557,0.5956516263844228,0.6658459698919225,0.7714266503774986,1.0,0.7047402625353919,0.5307486676608898,0.6654362782638283,0.7000696008554365,0.6615504252231258,0.6938924931559974,0.7204184447098422,0.5729071012738671,0.641025660616346,0.6345760560858611,0.7821017399395823,0.7765587390951286
SKI,0.5786102294173016,0.5758548093485337,0.9417647975857667,1.0,0.9369289972150702,0.6248318257323235,0.6387211222916241,0.5523700959399552,0.9674201625704903,0.7698744642376188,0.9735745616222271,0.7042497541843508,0.6103653305827337,0.4770156996470254,0.8076124258574175,0.8181149521126883,0.7298253908058665,0.6230231685973577
MORN1,0.7575555712618771,0.620318888152697,0.9563925861249292,0.8547314222689764,0.9500302192881194,0.8794906168433583,0.7646375966406049,0.7398826116670361,0.8230619115656809,0.9750654353765981,0.873463618076389,0.9279650012782236,0.8396602429900498,0.6738223206918668,0.8674321696151528,0.9841027349724193,1.0,0.8604845155514944
RER1,0.8005810072143139,0.8993269434018637,1.0,0.8495152664823297,0.795770952276638,0.7665363214321009,0.7884533722479141,0.8418940922311995,0.8909557872888981,0.8376264454677438,0.7922173479720331,0.7628486914916113,0.7907910711364176,0.9810835647831545,0.9080031867111141,0.8301498049079927,0.7840694887655696,0.7377937292307372
PEX10,0.5990036198988032,0.7791487049806003,0.3484207052171339,0.5623539618771858,0.5299184456363724,0.5642474486364513,0.6557585636298369,1.0,0.6051911173527796,0.35034914254608857,0.5238692987502774,0.5939492269574861,0.8716175199166504,0.976846513321285,0.41693748608460923,0.5007406527949715,0.4603158727809056,0.5414647547667303
PANK4,0.5296151278494692,0.8703163968405132,1.0,0.7239224779160051,0.7678000927941551,0.5283432567617384,0.5245562476556964,0.7562072429230834,0.7601732864024543,0.6895095740130818,0.6221602209204448,0.5369772912175587,0.5503572305272784,0.7209362120684921,0.992131277492655,0.7424579241078527,0.7555851287530537,0.5992026419719246
MMEL1,1.0,0.8186972201113762,0.4708476337380115,0.5749952525919514,0.6230429227370362,0.7258516962134457,0.945548515203038,0.8496950685177115,0.6254079718729519,0.4959990923613058,0.6647545154520108,0.6714468975534984,0.8871879943258733,0.9076897800578796,0.5989008517498551,0.6140491910823946,0.5986438196459235,0.5831637504464048
PRDM16,0.7278146312583096,0.5485734000731546,0.7563778902449173,0.9156002288751595,0.6694061384294894,0.6890123411630557,0.9299126904295454,0.7963808711186242,0.7534997445227054,0.733401276884559,1.0,0.8612720158672751,0.7539126451090259,0.5193335343671699,0.33941972811162746,0.6080084980861716,0.7654123467678602,0.6792573538808523
ARHGEF16,0.6203388613453051,0.952100183881582,0.9921551320575355,0.6396674744875127,0.7157506286983424,0.7774966068045305,0.6202492147429222,0.7152735301172998,1.0,0.6236068626135407,0.8288796190637241,0.6314741566012002,0.5649527988673554,0.6827069625174719,0.967154284689108,0.6306836519456629,0.6664143294186785,0.5880912519170446
MEGF6,0.6842858561394032,0.45666656873087885,0.6494098441723116,0.7808716797444492,1.0,0.5713273453451919,0.7042947533584542,0.5601769138273608,0.6198804560700392,0.8023332366478729,0.9148441707086028,0.6321822142629584,0.7204050883461469,0.5594800439449579,0.5729652426730438,0.8011691687783452,0.8470703012539348,0.5299292353420865
WRAP73,0.4245570090923125,1.0,0.8131437144714548,0.6566781319965105,0.6674965995290453,0.51528515540532,0.7533987776743882,0.8139618539576555,0.8940346371695187,0.6551311460759511,0.874336978398537,0.694962270025858,0.6135704918676668,0.6372008145416893,0.7269015256020066,0.7285623432809252,0.679750776340025,0.7133473578734375
LRRC47,0.7449169207189849,0.8285490903210326,0.6888065514041033,0.6401059634110868,0.7083967249842982,0.5203319632472934,0.8323038291881233,1.0,0.7312446131240024,0.5357540346931201,0.5539767297129369,0.5799409904726397,0.9771435404097037,0.830526415638582,0.7566378392410232,0.6384029642285319,0.6006958907211817,0.6266007224973482
CEP104,0.5547850740037492,0.8115097020341291,0.9410377235167953,0.870859906869656,0.877521545880028,0.8119252031805034,0.4389469664701476,0.6616119870057751,0.9286627609825622,0.8341473248358402,0.8318046551471943,0.873005090551725,0.45934094486598503,0.6618811432251273,1.0,0.8252136787907,0.7587254217064677,0.8806119015788566
DFFB,0.7901764028340867,0.5570428788829324,0.9276907858217802,0.8549628814882126,0.733587328738027,0.8834796970317808,0.8097267005443561,0.5682932873882028,0.7367435473815035,0.8255244877362504,0.7814313340045212,0.9761962153132364,0.6894386341182892,0.6514342997738933,0.6605677352551638,0.866334790180921,0.719318396609035,1.0
NPHP4,0.5602151612592169,0.850447692667695,0.7361644821516872,0.6144009207859171,0.49639387386518713,0.4470661379452196,0.6052899721185744,1.0,0.6833978434951723,0.5378062953069691,0.4547407407289266,0.46387668463657994,0.6412737166709608,0.6498705712920005,0.6109313056658519,0.5840749106403378,0.4824486681382719,0.45332908215012424
KCNAB2,0.5985882607787024,0.4786740182622823,1.0,0.8382260270606374,0.5097689140682505,0.4299620986061044,0.520184945591899,0.5031398685587248,0.8643905917963391,0.6446914517022315,0.5711430828049684,0.42191072881379615,0.5816275277163282,0.42844209174356107,0.9007507650920159,0.750642499649199,0.514067739383774,0.370527347994884
ENSG00000285629,0.9766333905395841,0.9549704928761169,0.8524396014835403,0.7599644392667949,0.7983007068609025,0.9314094021676436,0.9701922173613761,0.9658819061305205,0.8489789055652067,0.852943084395947,0.8035656151378062,0.9429632385588526,1.0,0.9803705957554754,0.8482459694454615,0.8163617253688209,0.8363702501227173,0.9731875318629374
RPL22,0.7893313857954835,0.5159247282868915,0.4058820001444541,0.35609240356692223,0.33072698185547766,0.41643587851996283,0.9734935368144786,0.45583798259605557,0.3751990549839316,0.3350949575887551,0.3389132994408627,0.3973889745898266,1.0,0.475224412435188,0.3785659754706078,0.36529202185473847,0.3804656883512749,0.4369079597194055
